RDA,Pos,MM,avg_percent_active
enCas12a,3,rG:dT,0.6301369863013698
enCas12a,3,rU:dC,0.36
enCas12a,3,rU:dG,0.6097560975609756
enCas12a,3,rU:dT,0.2328767123287671
enCas12a,4,rA:dA,0.12857142857142856
enCas12a,4,rA:dC,0.24390243902439024
enCas12a,4,rA:dG,0.15789473684210525
enCas12a,4,rC:dA,0.22857142857142856
enCas12a,4,rC:dC,0.036585365853658534
enCas12a,4,rC:dT,0.3333333333333333
enCas12a,4,rG:dA,0.3142857142857143
enCas12a,4,rG:dG,0.543859649122807
enCas12a,4,rG:dT,0.6190476190476191
enCas12a,4,rU:dC,0.18292682926829268
enCas12a,4,rU:dG,0.2631578947368421
enCas12a,4,rU:dT,0.36507936507936506
enCas12a,5,rA:dA,0.4406779661016949
enCas12a,5,rA:dC,0.3695652173913043
enCas12a,5,rA:dG,0.37037037037037035
enCas12a,5,rC:dA,0.5084745762711864
enCas12a,5,rC:dC,0.06521739130434782
enCas12a,5,rC:dT,0.19402985074626866
enCas12a,5,rG:dA,0.3389830508474576
enCas12a,5,rG:dG,0.3888888888888889
enCas12a,5,rG:dT,0.746268656716418
enCas12a,5,rU:dC,0.14130434782608695
enCas12a,5,rU:dG,0.4074074074074074
enCas12a,5,rU:dT,0.43283582089552236
enCas12a,6,rA:dA,0.38596491228070173
enCas12a,6,rA:dC,0.5147058823529411
enCas12a,6,rA:dG,0.3333333333333333
enCas12a,6,rC:dA,0.5614035087719298
enCas12a,6,rC:dC,0.08823529411764706
enCas12a,6,rC:dT,0.26881720430107525
enCas12a,6,rG:dA,0.6140350877192983
enCas12a,6,rG:dG,0.5370370370370371
enCas12a,6,rG:dT,0.7849462365591398
enCas12a,6,rU:dC,0.10294117647058823
enCas12a,6,rU:dG,0.5555555555555556
enCas12a,6,rU:dT,0.40860215053763443
enCas12a,7,rA:dA,0.3333333333333333
enCas12a,7,rA:dC,0.45901639344262296
enCas12a,7,rA:dG,0.3157894736842105
enCas12a,7,rC:dA,0.37254901960784315
enCas12a,7,rC:dC,0.13114754098360656
enCas12a,7,rC:dT,0.6
enCas12a,7,rG:dA,0.6274509803921569
enCas12a,7,rG:dG,0.49473684210526314
enCas12a,7,rG:dT,0.7692307692307693
enCas12a,7,rU:dC,0.22950819672131148
enCas12a,7,rU:dG,0.5578947368421052
enCas12a,7,rU:dT,0.5538461538461539
enCas12a,8,rA:dA,0.6666666666666666
enCas12a,8,rA:dC,0.5862068965517241
enCas12a,8,rA:dG,0.5217391304347826
enCas12a,8,rC:dA,0.6333333333333333
enCas12a,8,rC:dC,0.27586206896551724
enCas12a,8,rC:dT,0.5764705882352941
enCas12a,8,rG:dA,0.75
enCas12a,8,rG:dG,0.7101449275362319
enCas12a,8,rG:dT,0.8823529411764706
enCas12a,8,rU:dC,0.43103448275862066
enCas12a,8,rU:dG,0.6956521739130435
enCas12a,8,rU:dT,0.6470588235294118
enCas12a,9,rA:dA,0.627906976744186
enCas12a,9,rA:dC,0.6388888888888888
enCas12a,9,rA:dG,0.7411764705882353
enCas12a,9,rC:dA,0.627906976744186
enCas12a,9,rC:dC,0.3472222222222222
enCas12a,9,rC:dT,0.5138888888888888
enCas12a,9,rG:dA,0.627906976744186
enCas12a,9,rG:dG,0.8470588235294118
enCas12a,9,rG:dT,0.7638888888888888
enCas12a,9,rU:dC,0.5694444444444444
enCas12a,9,rU:dG,0.8
enCas12a,9,rU:dT,0.5
